Orthogroup	aus_nigra	nz_nigra
OG0000848	TRINITY_DN2055_c0_g1.p1, TRINITY_DN8683_c0_g1.p1	TRINITY_DN111035_c0_g1.p1, TRINITY_DN2991_c0_g1.p2, TRINITY_DN35244_c0_g1.p1, TRINITY_DN43234_c0_g1.p1, TRINITY_DN4720_c0_g1.p1, TRINITY_DN67769_c0_g1.p1
OG0000849	TRINITY_DN2068_c0_g1.p1, TRINITY_DN3728_c0_g1.p1, TRINITY_DN9745_c0_g1.p1	TRINITY_DN10085_c0_g1.p1, TRINITY_DN11838_c0_g1.p1, TRINITY_DN13730_c0_g2.p4, TRINITY_DN20838_c0_g1.p2, TRINITY_DN64731_c0_g1.p1
OG0000850	TRINITY_DN20717_c0_g1.p1, TRINITY_DN376571_c0_g1.p1, TRINITY_DN444602_c0_g1.p1	TRINITY_DN11951_c0_g2.p2, TRINITY_DN15058_c0_g1.p1, TRINITY_DN50847_c0_g1.p1, TRINITY_DN5996_c1_g1.p1, TRINITY_DN87004_c0_g1.p1
OG0000851	TRINITY_DN20718_c0_g1.p1, TRINITY_DN20718_c0_g1.p2, TRINITY_DN8623_c0_g1.p1	TRINITY_DN11413_c0_g1.p1, TRINITY_DN12437_c0_g1.p1, TRINITY_DN152844_c0_g1.p1, TRINITY_DN48506_c0_g1.p1, TRINITY_DN48506_c0_g2.p1
OG0000852	TRINITY_DN2102_c8_g1.p1, TRINITY_DN3837_c0_g1.p1	TRINITY_DN10461_c0_g1.p2, TRINITY_DN1648_c0_g1.p1, TRINITY_DN3515_c0_g1.p1, TRINITY_DN5472_c0_g1.p4, TRINITY_DN74659_c0_g1.p1, TRINITY_DN8560_c0_g1.p1
OG0000853	TRINITY_DN2111_c0_g1.p1, TRINITY_DN22493_c0_g1.p1, TRINITY_DN437142_c0_g1.p1, TRINITY_DN442093_c0_g1.p1, TRINITY_DN540678_c0_g1.p2, TRINITY_DN558496_c0_g1.p1, TRINITY_DN8020_c0_g1.p2, TRINITY_DN99570_c0_g1.p1	
OG0000854	TRINITY_DN21517_c0_g1.p2, TRINITY_DN234925_c0_g1.p1, TRINITY_DN24716_c0_g1.p1, TRINITY_DN70933_c0_g1.p1	TRINITY_DN144459_c0_g1.p1, TRINITY_DN33622_c0_g1.p1, TRINITY_DN33622_c0_g1.p2, TRINITY_DN4435_c0_g1.p4
OG0000855	TRINITY_DN221744_c0_g2.p1, TRINITY_DN327689_c0_g1.p1, TRINITY_DN4436_c0_g1.p1, TRINITY_DN531354_c0_g1.p2, TRINITY_DN582173_c0_g1.p2, TRINITY_DN6919_c0_g1.p3	TRINITY_DN17233_c0_g1.p1, TRINITY_DN96967_c0_g1.p1
OG0000856	TRINITY_DN22265_c0_g1.p1, TRINITY_DN22265_c1_g1.p1, TRINITY_DN40249_c0_g1.p1, TRINITY_DN4946_c1_g1.p1	TRINITY_DN2238_c0_g1.p1, TRINITY_DN40557_c0_g1.p1, TRINITY_DN7281_c0_g1.p1, TRINITY_DN7281_c4_g1.p1
OG0000857	TRINITY_DN2240_c0_g1.p1, TRINITY_DN23642_c0_g1.p1, TRINITY_DN264198_c0_g1.p1, TRINITY_DN264198_c0_g2.p1	TRINITY_DN22161_c0_g1.p1, TRINITY_DN7122_c0_g1.p1, TRINITY_DN8453_c0_g1.p1, TRINITY_DN8453_c0_g1.p2
OG0000858	TRINITY_DN22602_c0_g2.p1, TRINITY_DN2604_c0_g1.p1	TRINITY_DN14869_c0_g1.p1, TRINITY_DN23965_c0_g1.p1, TRINITY_DN3048_c0_g1.p1, TRINITY_DN33942_c0_g2.p2, TRINITY_DN44826_c0_g1.p1, TRINITY_DN51640_c0_g1.p1
OG0000859	TRINITY_DN2324_c1_g1.p1, TRINITY_DN2324_c1_g1.p2, TRINITY_DN7661_c0_g1.p1, TRINITY_DN88082_c0_g1.p1	TRINITY_DN49697_c0_g1.p1, TRINITY_DN757_c0_g1.p1, TRINITY_DN757_c0_g3.p1, TRINITY_DN757_c0_g3.p2
OG0000860	TRINITY_DN2400_c0_g1.p1	TRINITY_DN144939_c0_g1.p1, TRINITY_DN4487_c0_g2.p2, TRINITY_DN5402_c0_g2.p1, TRINITY_DN9381_c0_g1.p2, TRINITY_DN9381_c0_g2.p1, TRINITY_DN991_c0_g1.p1, TRINITY_DN991_c0_g2.p1
OG0000861	TRINITY_DN2421_c0_g2.p1, TRINITY_DN30026_c0_g1.p1, TRINITY_DN30504_c1_g1.p1, TRINITY_DN582_c0_g1.p6, TRINITY_DN582_c0_g1.p8, TRINITY_DN6937_c0_g1.p4	TRINITY_DN4498_c0_g1.p1, TRINITY_DN816_c2_g1.p1
OG0000862	TRINITY_DN243874_c0_g1.p1, TRINITY_DN277399_c0_g1.p1, TRINITY_DN294287_c0_g1.p1, TRINITY_DN32635_c0_g1.p1, TRINITY_DN94213_c0_g1.p1	TRINITY_DN10456_c0_g1.p1, TRINITY_DN146482_c0_g1.p1, TRINITY_DN17794_c0_g1.p1
OG0000863	TRINITY_DN24692_c0_g1.p1, TRINITY_DN5909_c0_g1.p1, TRINITY_DN7535_c0_g1.p2	TRINITY_DN153_c0_g1.p1, TRINITY_DN153_c0_g1.p2, TRINITY_DN153_c0_g1.p4, TRINITY_DN7665_c1_g1.p1, TRINITY_DN7665_c1_g1.p6
OG0000864	TRINITY_DN2470_c0_g1.p1, TRINITY_DN2470_c0_g1.p3, TRINITY_DN439_c3_g1.p1	TRINITY_DN126926_c0_g1.p1, TRINITY_DN137593_c0_g1.p1, TRINITY_DN4832_c0_g1.p1, TRINITY_DN5396_c0_g1.p3, TRINITY_DN574_c0_g1.p2
OG0000865	TRINITY_DN24873_c0_g1.p1, TRINITY_DN3982_c0_g1.p4, TRINITY_DN43895_c0_g2.p2, TRINITY_DN6372_c0_g1.p1	TRINITY_DN13105_c0_g1.p1, TRINITY_DN24029_c0_g1.p1, TRINITY_DN3147_c1_g2.p2, TRINITY_DN4062_c0_g1.p1
OG0000866	TRINITY_DN2556_c0_g1.p1, TRINITY_DN375406_c0_g1.p1, TRINITY_DN5863_c0_g1.p1	TRINITY_DN30885_c0_g1.p1, TRINITY_DN52129_c0_g1.p1, TRINITY_DN5315_c0_g1.p1, TRINITY_DN5315_c0_g1.p2, TRINITY_DN8348_c0_g1.p1
OG0000867	TRINITY_DN25828_c2_g1.p1, TRINITY_DN5268_c1_g1.p1	TRINITY_DN140514_c0_g1.p1, TRINITY_DN20023_c0_g1.p1, TRINITY_DN20023_c0_g1.p2, TRINITY_DN27854_c0_g1.p1, TRINITY_DN27854_c0_g1.p2, TRINITY_DN67313_c0_g1.p1
OG0000868	TRINITY_DN2584_c0_g1.p1, TRINITY_DN439634_c0_g1.p2, TRINITY_DN461440_c0_g1.p1, TRINITY_DN584015_c0_g1.p1, TRINITY_DN87043_c0_g1.p1	TRINITY_DN1132_c0_g1.p11, TRINITY_DN41738_c0_g1.p1, TRINITY_DN4432_c0_g1.p1
OG0000869	TRINITY_DN26236_c0_g1.p1, TRINITY_DN43598_c0_g1.p1	TRINITY_DN152778_c0_g1.p1, TRINITY_DN35777_c0_g1.p1, TRINITY_DN52090_c0_g1.p1, TRINITY_DN73744_c0_g1.p1, TRINITY_DN8809_c0_g1.p1, TRINITY_DN8809_c0_g2.p1
OG0000870	TRINITY_DN26539_c0_g1.p1, TRINITY_DN268356_c0_g1.p1, TRINITY_DN4611_c0_g1.p1, TRINITY_DN478030_c0_g1.p1, TRINITY_DN547671_c0_g1.p1	TRINITY_DN2320_c0_g1.p1, TRINITY_DN2320_c0_g3.p1, TRINITY_DN57431_c0_g1.p1
OG0000871	TRINITY_DN2667_c0_g1.p1, TRINITY_DN419605_c0_g1.p1, TRINITY_DN4197_c0_g1.p2, TRINITY_DN590721_c0_g1.p1	TRINITY_DN141500_c0_g1.p1, TRINITY_DN4085_c0_g2.p2, TRINITY_DN53307_c0_g1.p1, TRINITY_DN8401_c0_g1.p2
OG0000872	TRINITY_DN268428_c0_g1.p1, TRINITY_DN431371_c0_g1.p1, TRINITY_DN531360_c0_g1.p1, TRINITY_DN5444_c0_g1.p1, TRINITY_DN5444_c0_g1.p2	TRINITY_DN4952_c0_g1.p1, TRINITY_DN4952_c0_g1.p3, TRINITY_DN66278_c0_g1.p1
OG0000873	TRINITY_DN269_c0_g1.p1, TRINITY_DN4537_c0_g1.p1	TRINITY_DN147994_c0_g1.p1, TRINITY_DN2434_c0_g1.p1, TRINITY_DN2434_c0_g1.p2, TRINITY_DN30583_c0_g2.p1, TRINITY_DN762_c2_g3.p2, TRINITY_DN91810_c0_g1.p1
OG0000874	TRINITY_DN277048_c0_g1.p1, TRINITY_DN4562_c0_g1.p1, TRINITY_DN6324_c0_g1.p2	TRINITY_DN3009_c0_g1.p3, TRINITY_DN7123_c0_g1.p1, TRINITY_DN77691_c0_g1.p1, TRINITY_DN95713_c0_g1.p1, TRINITY_DN967_c0_g1.p2
OG0000875	TRINITY_DN2785_c0_g1.p2, TRINITY_DN36477_c0_g1.p1, TRINITY_DN5935_c0_g1.p1	TRINITY_DN13_c0_g1.p1, TRINITY_DN13_c0_g1.p3, TRINITY_DN13_c0_g2.p1, TRINITY_DN143676_c0_g1.p1, TRINITY_DN4814_c0_g1.p1
OG0000876	TRINITY_DN2795_c1_g1.p1	TRINITY_DN10371_c0_g1.p2, TRINITY_DN12937_c0_g1.p1, TRINITY_DN18905_c6_g1.p1, TRINITY_DN32891_c0_g3.p1, TRINITY_DN37021_c0_g1.p1, TRINITY_DN5790_c7_g1.p1, TRINITY_DN9057_c0_g2.p1
OG0000877	TRINITY_DN2816_c3_g1.p1	TRINITY_DN13369_c2_g1.p1, TRINITY_DN13745_c2_g1.p1, TRINITY_DN14486_c5_g1.p1, TRINITY_DN17635_c1_g1.p1, TRINITY_DN24134_c0_g1.p1, TRINITY_DN28196_c0_g1.p1, TRINITY_DN37317_c0_g1.p1
OG0000878	TRINITY_DN28_c1_g1.p1, TRINITY_DN3523_c1_g1.p1	TRINITY_DN1224_c0_g1.p1, TRINITY_DN1224_c0_g1.p2, TRINITY_DN1224_c0_g1.p6, TRINITY_DN2524_c0_g1.p2, TRINITY_DN2524_c0_g2.p2, TRINITY_DN71777_c0_g1.p1
OG0000879	TRINITY_DN2917_c0_g1.p1	TRINITY_DN124262_c0_g1.p1, TRINITY_DN203_c0_g1.p1, TRINITY_DN203_c0_g3.p1, TRINITY_DN203_c0_g3.p2, TRINITY_DN203_c0_g5.p1, TRINITY_DN26652_c0_g1.p1, TRINITY_DN4830_c0_g1.p1
OG0000880	TRINITY_DN2946_c0_g1.p1, TRINITY_DN2946_c0_g1.p2, TRINITY_DN336285_c0_g1.p1, TRINITY_DN425_c0_g1.p1	TRINITY_DN116205_c0_g1.p1, TRINITY_DN3402_c0_g1.p1, TRINITY_DN5469_c0_g1.p1, TRINITY_DN81786_c0_g1.p1
OG0000881	TRINITY_DN29614_c0_g1.p2, TRINITY_DN375578_c0_g1.p2, TRINITY_DN483537_c0_g1.p1, TRINITY_DN486560_c0_g1.p1, TRINITY_DN8141_c0_g1.p1	TRINITY_DN12874_c0_g1.p1, TRINITY_DN20399_c0_g2.p1, TRINITY_DN6015_c0_g1.p1
OG0000882	TRINITY_DN296159_c0_g1.p1, TRINITY_DN296159_c0_g2.p1	TRINITY_DN10673_c1_g1.p1, TRINITY_DN10673_c1_g1.p5, TRINITY_DN71688_c0_g1.p1, TRINITY_DN8433_c0_g1.p1, TRINITY_DN8433_c0_g1.p2, TRINITY_DN8433_c0_g2.p1
OG0000883	TRINITY_DN29652_c0_g1.p1, TRINITY_DN582159_c0_g1.p1, TRINITY_DN70323_c0_g1.p1	TRINITY_DN104653_c0_g1.p1, TRINITY_DN57298_c0_g1.p1, TRINITY_DN63885_c0_g1.p1, TRINITY_DN90954_c0_g1.p1, TRINITY_DN9528_c0_g1.p1
OG0000884	TRINITY_DN2984_c0_g1.p3, TRINITY_DN2984_c0_g1.p4, TRINITY_DN9699_c1_g1.p1	TRINITY_DN1302_c0_g1.p2, TRINITY_DN3065_c0_g1.p6, TRINITY_DN3065_c0_g2.p3, TRINITY_DN5231_c3_g1.p1, TRINITY_DN67154_c0_g1.p1
OG0000885	TRINITY_DN301800_c0_g1.p1, TRINITY_DN35952_c0_g1.p1, TRINITY_DN426387_c0_g1.p1, TRINITY_DN43819_c0_g1.p1, TRINITY_DN43819_c0_g2.p1, TRINITY_DN5275_c0_g1.p1	TRINITY_DN15597_c0_g1.p1, TRINITY_DN2489_c0_g1.p1
OG0000886	TRINITY_DN3042_c0_g1.p2	TRINITY_DN1630_c0_g3.p1, TRINITY_DN3533_c0_g1.p3, TRINITY_DN3533_c0_g1.p4, TRINITY_DN7013_c1_g1.p16, TRINITY_DN7013_c1_g1.p17, TRINITY_DN7013_c1_g1.p5, TRINITY_DN96085_c0_g1.p1
OG0000887	TRINITY_DN309401_c0_g1.p1, TRINITY_DN427464_c0_g1.p1, TRINITY_DN478833_c0_g1.p1, TRINITY_DN542971_c0_g1.p1, TRINITY_DN581173_c0_g1.p1	TRINITY_DN16263_c0_g1.p1, TRINITY_DN2398_c0_g1.p1, TRINITY_DN7396_c1_g1.p1
OG0000888	TRINITY_DN3099_c0_g1.p1, TRINITY_DN380082_c0_g1.p1, TRINITY_DN427674_c0_g1.p1, TRINITY_DN429420_c0_g1.p1, TRINITY_DN491240_c0_g1.p1, TRINITY_DN593792_c0_g1.p1	TRINITY_DN31494_c0_g1.p1, TRINITY_DN8155_c0_g1.p1
OG0000889	TRINITY_DN320_c1_g2.p1, TRINITY_DN492377_c0_g1.p2, TRINITY_DN6825_c0_g1.p1	TRINITY_DN1445_c0_g5.p1, TRINITY_DN2052_c0_g2.p3, TRINITY_DN38667_c0_g1.p1, TRINITY_DN4590_c0_g1.p1, TRINITY_DN6083_c0_g1.p3
OG0000890	TRINITY_DN3221_c0_g2.p1, TRINITY_DN444024_c0_g1.p1, TRINITY_DN4730_c0_g1.p2, TRINITY_DN814_c0_g1.p1	TRINITY_DN101374_c0_g1.p1, TRINITY_DN11210_c0_g1.p1, TRINITY_DN14946_c0_g1.p1, TRINITY_DN5357_c0_g2.p1
OG0000891	TRINITY_DN322607_c0_g1.p1, TRINITY_DN384314_c0_g1.p1, TRINITY_DN44543_c0_g1.p1, TRINITY_DN455383_c0_g1.p1, TRINITY_DN532776_c0_g1.p2, TRINITY_DN64_c1_g1.p1	TRINITY_DN47196_c0_g7.p1, TRINITY_DN5029_c0_g1.p1
OG0000892	TRINITY_DN323934_c0_g1.p1, TRINITY_DN32424_c0_g1.p2, TRINITY_DN32424_c0_g2.p1, TRINITY_DN379220_c0_g1.p1, TRINITY_DN385474_c0_g1.p1, TRINITY_DN441135_c0_g1.p2, TRINITY_DN442315_c0_g1.p1, TRINITY_DN623857_c0_g1.p1	
OG0000893	TRINITY_DN326100_c0_g1.p1, TRINITY_DN4492_c0_g1.p1	TRINITY_DN13524_c0_g1.p1, TRINITY_DN163_c0_g1.p2, TRINITY_DN163_c0_g2.p2, TRINITY_DN23895_c0_g1.p1, TRINITY_DN2648_c0_g2.p6, TRINITY_DN6965_c0_g1.p1
OG0000894	TRINITY_DN32671_c0_g1.p1, TRINITY_DN6273_c0_g1.p1	TRINITY_DN125021_c0_g1.p1, TRINITY_DN24517_c0_g1.p1, TRINITY_DN6864_c0_g1.p1, TRINITY_DN81865_c0_g1.p1, TRINITY_DN89317_c0_g1.p1, TRINITY_DN89557_c0_g1.p1
OG0000895	TRINITY_DN334485_c0_g1.p1, TRINITY_DN558697_c0_g1.p2, TRINITY_DN5886_c0_g1.p2, TRINITY_DN64116_c0_g2.p1	TRINITY_DN19165_c0_g1.p1, TRINITY_DN5883_c0_g2.p2, TRINITY_DN96675_c0_g1.p1, TRINITY_DN98514_c0_g1.p1
OG0000896	TRINITY_DN3370_c1_g1.p10, TRINITY_DN3370_c1_g1.p8, TRINITY_DN485735_c0_g1.p1, TRINITY_DN57823_c0_g1.p1, TRINITY_DN5923_c0_g1.p1	TRINITY_DN14023_c0_g1.p1, TRINITY_DN2408_c0_g4.p2, TRINITY_DN24900_c0_g1.p1
OG0000897	TRINITY_DN3371_c0_g2.p2, TRINITY_DN8971_c0_g1.p1, TRINITY_DN89844_c0_g1.p1	TRINITY_DN106835_c0_g1.p1, TRINITY_DN142153_c0_g1.p1, TRINITY_DN17268_c0_g1.p1, TRINITY_DN3955_c0_g2.p1, TRINITY_DN8196_c0_g1.p1
OG0000898	TRINITY_DN3419_c0_g1.p1, TRINITY_DN374739_c0_g1.p1, TRINITY_DN473087_c0_g1.p1, TRINITY_DN74076_c0_g1.p1, TRINITY_DN74076_c0_g2.p1	TRINITY_DN25850_c0_g1.p1, TRINITY_DN4268_c0_g2.p1, TRINITY_DN90995_c0_g1.p2
OG0000899	TRINITY_DN344366_c0_g1.p2	TRINITY_DN1641_c0_g1.p1, TRINITY_DN24282_c0_g1.p1, TRINITY_DN24282_c0_g1.p2, TRINITY_DN24282_c0_g2.p1, TRINITY_DN24692_c0_g1.p1, TRINITY_DN31741_c0_g1.p1, TRINITY_DN9422_c0_g1.p1
OG0000900	TRINITY_DN3468_c1_g1.p1, TRINITY_DN7729_c0_g1.p1, TRINITY_DN7729_c0_g1.p2, TRINITY_DN7729_c0_g1.p3	TRINITY_DN12683_c0_g1.p2, TRINITY_DN341_c0_g1.p1, TRINITY_DN8027_c0_g2.p1, TRINITY_DN823_c0_g1.p1
OG0000901	TRINITY_DN3523_c2_g1.p1, TRINITY_DN5969_c0_g1.p1, TRINITY_DN6788_c0_g1.p5, TRINITY_DN9986_c0_g1.p1	TRINITY_DN1226_c0_g1.p1, TRINITY_DN2279_c0_g5.p1, TRINITY_DN5782_c0_g1.p5, TRINITY_DN741_c1_g4.p2
OG0000902	TRINITY_DN36968_c0_g1.p1, TRINITY_DN36968_c0_g2.p1, TRINITY_DN44208_c0_g2.p1, TRINITY_DN6433_c0_g1.p1, TRINITY_DN6433_c0_g2.p1	TRINITY_DN29221_c0_g1.p1, TRINITY_DN626_c2_g2.p1, TRINITY_DN8057_c0_g1.p1
OG0000903	TRINITY_DN379855_c0_g1.p1, TRINITY_DN38315_c0_g1.p1, TRINITY_DN427532_c0_g1.p1, TRINITY_DN5460_c1_g1.p2, TRINITY_DN7348_c0_g1.p2	TRINITY_DN34115_c0_g1.p1, TRINITY_DN40481_c0_g1.p1, TRINITY_DN9048_c0_g1.p2
OG0000904	TRINITY_DN380300_c0_g1.p1, TRINITY_DN384902_c0_g1.p1, TRINITY_DN427458_c0_g1.p1, TRINITY_DN479559_c0_g1.p1, TRINITY_DN555355_c0_g1.p1, TRINITY_DN586584_c0_g1.p2, TRINITY_DN7719_c0_g1.p1, TRINITY_DN7719_c0_g1.p3	
OG0000905	TRINITY_DN3860_c0_g1.p2, TRINITY_DN3860_c0_g1.p3, TRINITY_DN3860_c0_g1.p4, TRINITY_DN6151_c0_g1.p7	TRINITY_DN2707_c0_g3.p1, TRINITY_DN4022_c0_g1.p3, TRINITY_DN4022_c0_g3.p1, TRINITY_DN6563_c0_g1.p2
OG0000906	TRINITY_DN386773_c0_g1.p1, TRINITY_DN5497_c0_g1.p1, TRINITY_DN5497_c0_g1.p2	TRINITY_DN128280_c0_g1.p1, TRINITY_DN4610_c0_g1.p1, TRINITY_DN4610_c0_g2.p1, TRINITY_DN4610_c0_g2.p2, TRINITY_DN93473_c0_g1.p1
OG0000907	TRINITY_DN390653_c0_g1.p1, TRINITY_DN402_c0_g1.p1, TRINITY_DN518878_c0_g1.p1, TRINITY_DN76311_c0_g1.p1	TRINITY_DN39055_c0_g1.p1, TRINITY_DN63402_c0_g1.p1, TRINITY_DN9662_c0_g1.p1, TRINITY_DN97799_c0_g1.p1
OG0000908	TRINITY_DN40217_c0_g1.p1, TRINITY_DN40217_c0_g2.p2, TRINITY_DN569_c0_g1.p5, TRINITY_DN89340_c0_g1.p1	TRINITY_DN114340_c0_g1.p1, TRINITY_DN143398_c0_g1.p1, TRINITY_DN21442_c0_g1.p1, TRINITY_DN2648_c0_g1.p2
OG0000909	TRINITY_DN4044_c0_g1.p1, TRINITY_DN6717_c1_g1.p1	TRINITY_DN2145_c0_g3.p1, TRINITY_DN2145_c0_g8.p2, TRINITY_DN29165_c0_g1.p1, TRINITY_DN41216_c0_g1.p1, TRINITY_DN43669_c0_g1.p1, TRINITY_DN5705_c0_g1.p5
OG0000910	TRINITY_DN426566_c0_g1.p1, TRINITY_DN547553_c0_g1.p1, TRINITY_DN7047_c0_g1.p1	TRINITY_DN132764_c0_g1.p1, TRINITY_DN154066_c0_g1.p1, TRINITY_DN28251_c0_g1.p1, TRINITY_DN7231_c0_g1.p1, TRINITY_DN7231_c0_g1.p2
OG0000911	TRINITY_DN428562_c0_g1.p1, TRINITY_DN481673_c0_g1.p1, TRINITY_DN50_c0_g2.p1, TRINITY_DN6278_c0_g1.p1	TRINITY_DN128801_c0_g1.p1, TRINITY_DN4709_c0_g1.p1, TRINITY_DN4710_c1_g1.p4, TRINITY_DN89676_c0_g1.p1
OG0000912	TRINITY_DN430195_c0_g1.p2, TRINITY_DN477800_c0_g1.p2, TRINITY_DN729_c0_g1.p1, TRINITY_DN89944_c0_g1.p2	TRINITY_DN116959_c0_g1.p2, TRINITY_DN117102_c0_g1.p2, TRINITY_DN4605_c0_g1.p1, TRINITY_DN56738_c0_g1.p1
OG0000913	TRINITY_DN432136_c0_g1.p1, TRINITY_DN5648_c0_g1.p1, TRINITY_DN9006_c0_g1.p1	TRINITY_DN107597_c0_g1.p1, TRINITY_DN141809_c0_g1.p1, TRINITY_DN142186_c0_g1.p1, TRINITY_DN2465_c0_g1.p3, TRINITY_DN7321_c0_g1.p2
OG0000914	TRINITY_DN436983_c0_g1.p2	TRINITY_DN107804_c0_g1.p1, TRINITY_DN141115_c0_g1.p1, TRINITY_DN145816_c0_g1.p1, TRINITY_DN148362_c0_g1.p1, TRINITY_DN18858_c0_g1.p1, TRINITY_DN20399_c0_g3.p1, TRINITY_DN96491_c0_g1.p1
OG0000915	TRINITY_DN4432_c0_g1.p1, TRINITY_DN5174_c0_g1.p1, TRINITY_DN5174_c0_g1.p2, TRINITY_DN6226_c0_g1.p1, TRINITY_DN6226_c0_g1.p2	TRINITY_DN1085_c0_g2.p1, TRINITY_DN369_c0_g2.p2, TRINITY_DN6101_c0_g2.p2
OG0000916	TRINITY_DN446_c0_g1.p1, TRINITY_DN446_c0_g2.p1, TRINITY_DN446_c0_g3.p1, TRINITY_DN7512_c0_g1.p1	TRINITY_DN2721_c0_g1.p3, TRINITY_DN3323_c0_g1.p1, TRINITY_DN3323_c0_g2.p2, TRINITY_DN583_c1_g2.p1
OG0000917	TRINITY_DN458618_c0_g1.p1, TRINITY_DN483798_c0_g1.p1, TRINITY_DN7351_c0_g1.p2, TRINITY_DN9359_c0_g1.p1	TRINITY_DN3792_c0_g2.p2, TRINITY_DN53562_c0_g1.p2, TRINITY_DN73170_c0_g1.p1, TRINITY_DN8248_c0_g1.p6
OG0000918	TRINITY_DN4687_c2_g1.p1, TRINITY_DN480919_c0_g1.p1, TRINITY_DN618_c0_g1.p5, TRINITY_DN808_c0_g1.p2	TRINITY_DN1031_c0_g2.p1, TRINITY_DN20641_c0_g1.p2, TRINITY_DN24495_c0_g1.p2, TRINITY_DN4873_c0_g3.p2
OG0000919	TRINITY_DN479269_c0_g1.p1, TRINITY_DN5013_c0_g1.p1, TRINITY_DN563_c0_g2.p3	TRINITY_DN126800_c0_g1.p1, TRINITY_DN1304_c0_g3.p3, TRINITY_DN1304_c0_g4.p2, TRINITY_DN139500_c0_g1.p1, TRINITY_DN851_c0_g4.p1
OG0000920	TRINITY_DN484908_c0_g1.p1, TRINITY_DN533895_c0_g1.p1, TRINITY_DN587612_c0_g1.p2, TRINITY_DN592250_c0_g1.p1, TRINITY_DN99867_c0_g1.p2, TRINITY_DN99867_c0_g2.p1	TRINITY_DN11934_c0_g1.p1, TRINITY_DN72324_c0_g1.p1
OG0000921	TRINITY_DN486543_c0_g1.p1, TRINITY_DN5942_c0_g2.p2, TRINITY_DN598466_c0_g1.p1, TRINITY_DN6433_c0_g1.p4, TRINITY_DN6433_c0_g2.p3	TRINITY_DN25155_c0_g2.p1, TRINITY_DN58645_c0_g1.p2, TRINITY_DN626_c2_g1.p1
OG0000922	TRINITY_DN4875_c0_g1.p1	TRINITY_DN112286_c0_g1.p1, TRINITY_DN116_c0_g1.p3, TRINITY_DN13624_c0_g1.p1, TRINITY_DN21661_c0_g1.p1, TRINITY_DN22877_c0_g1.p4, TRINITY_DN41_c0_g2.p1, TRINITY_DN4572_c0_g1.p1
OG0000923	TRINITY_DN4995_c0_g1.p3, TRINITY_DN67816_c0_g1.p2	TRINITY_DN105076_c0_g1.p1, TRINITY_DN143154_c0_g1.p1, TRINITY_DN14478_c0_g1.p2, TRINITY_DN29135_c0_g1.p1, TRINITY_DN3313_c0_g1.p1, TRINITY_DN3313_c0_g2.p1
OG0000924	TRINITY_DN538486_c0_g1.p2, TRINITY_DN592642_c0_g1.p1, TRINITY_DN6329_c1_g1.p2	TRINITY_DN18565_c0_g1.p1, TRINITY_DN18565_c0_g1.p2, TRINITY_DN20521_c0_g1.p1, TRINITY_DN2900_c0_g2.p1, TRINITY_DN48992_c0_g1.p1
OG0000925	TRINITY_DN5714_c0_g1.p1, TRINITY_DN7245_c0_g1.p1, TRINITY_DN9470_c0_g1.p1	TRINITY_DN36354_c0_g1.p1, TRINITY_DN36354_c0_g1.p3, TRINITY_DN36354_c0_g1.p5, TRINITY_DN5832_c0_g1.p1, TRINITY_DN5832_c0_g5.p1
OG0000926	TRINITY_DN6634_c1_g1.p1	TRINITY_DN106683_c0_g1.p1, TRINITY_DN13799_c0_g3.p1, TRINITY_DN14494_c0_g1.p1, TRINITY_DN14494_c0_g1.p3, TRINITY_DN46473_c0_g1.p2, TRINITY_DN46499_c0_g1.p1, TRINITY_DN60653_c0_g1.p1
OG0000927	TRINITY_DN7223_c0_g1.p1, TRINITY_DN7223_c0_g1.p2, TRINITY_DN7223_c0_g2.p1	TRINITY_DN32707_c0_g1.p2, TRINITY_DN502_c0_g1.p1, TRINITY_DN6853_c0_g1.p1, TRINITY_DN6853_c0_g1.p7, TRINITY_DN6853_c0_g2.p1
OG0000928	TRINITY_DN89555_c0_g1.p1	TRINITY_DN20002_c0_g1.p2, TRINITY_DN2846_c0_g2.p2, TRINITY_DN2846_c0_g4.p1, TRINITY_DN29711_c0_g1.p1, TRINITY_DN39522_c0_g1.p1, TRINITY_DN46197_c0_g1.p1, TRINITY_DN52286_c0_g1.p1
OG0000929	TRINITY_DN960_c0_g1.p1	TRINITY_DN130133_c0_g1.p1, TRINITY_DN148670_c0_g1.p1, TRINITY_DN20301_c0_g3.p1, TRINITY_DN20301_c0_g4.p1, TRINITY_DN56984_c0_g1.p1, TRINITY_DN76988_c0_g1.p2, TRINITY_DN82541_c0_g1.p1
OG0000930		TRINITY_DN106773_c0_g1.p1, TRINITY_DN4691_c0_g1.p1, TRINITY_DN4691_c0_g1.p2, TRINITY_DN4691_c0_g2.p1, TRINITY_DN49603_c0_g1.p1, TRINITY_DN6267_c0_g1.p1, TRINITY_DN6267_c0_g1.p2, TRINITY_DN76528_c0_g1.p1
OG0000931		TRINITY_DN10908_c0_g1.p1, TRINITY_DN10908_c0_g2.p1, TRINITY_DN2299_c0_g1.p1, TRINITY_DN29583_c0_g1.p1, TRINITY_DN34780_c0_g1.p1, TRINITY_DN37147_c0_g1.p1, TRINITY_DN4483_c0_g1.p2, TRINITY_DN4483_c0_g1.p4
